Country Name,Country Code,Region
Togo,TGO,África al sur del Sahara (excluido altos ingresos)
Tonga,TON,Asia oriental y el Pacífico (excluido altos ingresos)
Trinidad y Tobago,TTO,América Latina y el Caribe (excluido altos ingresos)
Túnez,TUN,Oriente Medio y Norte de África (excluido altos ingresos)
Turkmenistán,TKM,Europa y Asia central (excluido altos ingresos)
Turquía,TUR,Europa y Asia central (excluido altos ingresos)
Tuvalu,TUV,Asia oriental y el Pacífico (excluido altos ingresos)
Ucrania,UKR,Europa y Asia central (excluido altos ingresos)
Uganda,UGA,África al sur del Sahara (excluido altos ingresos)
Uruguay,URY,América Latina y el Caribe (excluido altos ingresos)
Uzbekistán,UZB,Europa y Asia central (excluido altos ingresos)
Vanuatu,VUT,Asia oriental y el Pacífico (excluido altos ingresos)
Venezuela,VEN,América Latina y el Caribe (excluido altos ingresos)
Viet Nam,VNM,Asia oriental y el Pacífico (excluido altos ingresos)
"Yemen, Rep. del",YEM,Oriente Medio y Norte de África (excluido altos ingresos)
Zambia,ZMB,África al sur del Sahara (excluido altos ingresos)
Zimbabwe,ZWE,África al sur del Sahara (excluido altos ingresos)
